        Time / ns                E-Field (Z; 160 0 0) [1]/real
----------------------------------------------------------------------
                       0                               0
             0.016505562                               0
             0.033011124                               0
             0.049516686                               0
             0.066022247                               0
             0.082527809                               0
             0.099033371                               0
              0.11553893                               0
              0.13204449                               0
              0.14855006                               0
              0.16505562                               0
              0.18156118                               0
              0.19806674                               0
               0.2145723                               0
              0.23107787                               0
              0.24758343                               0
              0.26408899                  1.5714574e-014
              0.28059455                  1.5085107e-013
              0.29710011                  1.3912374e-012
              0.31360568                  8.3593897e-012
              0.33011124                  4.3092023e-011
               0.3466168                  1.8872291e-010
              0.36312236                  7.0231966e-010
              0.37962792                  2.3025792e-009
              0.39613348                  6.7067349e-009
              0.41263905                   1.746107e-008
              0.42914461                  4.1111708e-008
              0.44565017                  8.7901402e-008
              0.46215573                  1.7068333e-007
              0.47866129                  3.0102585e-007
              0.49516686                  4.7928063e-007
              0.51167242                   6.776626e-007
              0.52817798                  8.2237097e-007
              0.54468354                   7.765784e-007
               0.5611891                  3.3376451e-007
              0.57769466                 -7.5005431e-007
              0.59420023                 -2.6842614e-006
              0.61070579                 -5.5401749e-006
              0.62721135                 -9.0974484e-006
              0.64371691                    -1.2701e-005
              0.66022247                 -1.5202461e-005
              0.67672804                 -1.4948729e-005
               0.6932336                 -9.9358416e-006
              0.70973916                  1.7210537e-006
              0.72624472                  2.1215162e-005
              0.74275028                  4.8385525e-005
              0.75925584                  8.0763387e-005
              0.77576141                   0.00011278694
              0.79226697                   0.00013548913
              0.80877253                   0.00013655778
              0.82527809                   0.00010171423
              0.84178365                  1.7849763e-005
              0.85828922                  -0.00012314391
              0.87479478                  -0.00031943529
              0.89130034                  -0.00055303308
               0.9078059                  -0.00078539958
              0.92431146                  -0.00095677901
              0.94081703                  -0.00098956067
              0.95732259                  -0.00079877143
              0.97382815                  -0.00031060274
              0.99033371                   0.00051407353
               1.0068393                    0.0016521652
               1.0233448                     0.002991295
               1.0398504                    0.0043147759
                1.056356                    0.0053059132
               1.0728615                    0.0055760279
               1.0893671                    0.0047247474
               1.1058726                    0.0024322137
               1.1223782                   -0.0014308274
               1.1388838                   -0.0066913825
               1.1553893                    -0.012785233
               1.1718949                    -0.018726718
               1.1884005                    -0.023166616
                1.204906                    -0.024554381
               1.2214116                    -0.021410116
               1.2379171                    -0.012683651
               1.2544227                    0.0018567827
               1.2709283                     0.021283631
               1.2874338                     0.043309721
               1.3039394                     0.064326922
               1.3204449                     0.079752181
               1.3369505                     0.084695928
               1.3534561                     0.074905354
               1.3699616                     0.047855342
               1.3864672                    0.0037829366
               1.4029728                    -0.053579263
               1.4194783                     -0.11681297
               1.4359839                     -0.17535721
               1.4524894                     -0.21685671
                1.468995                      -0.2292242
               1.4855006                     -0.20314648
               1.5020061                     -0.13460155
               1.5185117                    -0.026851147
               1.5350173                      0.10862997
               1.5515228                      0.25270969
               1.5680284                      0.38082541
               1.5845339                      0.46674352
               1.6010395                      0.48735886
               1.6175451                      0.42772505
               1.6340506                      0.28531625
               1.6505562                       0.0725157
               1.6670617                     -0.18346105
               1.6835673                     -0.44358344
               1.7000729                     -0.66277456
               1.7165784                     -0.79763881
                1.733084                     -0.81484523
               1.7495896                     -0.69856173
               1.7660951                     -0.45533695
               1.7826007                     -0.11517325
               1.7991062                      0.27181202
               1.8156118                      0.64289974
               1.8321174                      0.93334278
               1.8486229                       1.0881668
               1.8651285                        1.072969
               1.8816341                      0.88152263
               1.8981396                      0.53849361
               1.9146452                      0.09645967
               1.9311507                     -0.37248737
               1.9476563                     -0.78917079
               1.9641619                      -1.0815366
               1.9806674                      -1.1979573
                1.997173                      -1.1170386
               2.0136785                      -0.8519576
               2.0301841                     -0.44840761
               2.0466897                     0.023537614
               2.0631952                      0.48212401
               2.0797008                      0.84877018
               2.0962064                       1.0622412
               2.1127119                       1.0894593
               2.1292175                      0.93095015
                2.145723                      0.61998734
               2.1622286                      0.21573367
               2.1787342                     -0.20817341
               2.1952397                     -0.57732069
               2.2117453                     -0.82987288
               2.2282508                     -0.92710715
               2.2447564                     -0.85930178
                2.261262                     -0.64611001
               2.2777675                     -0.33161785
               2.2942731                     0.024721841
               2.3107787                      0.35939143
               2.3272842                      0.61617051
               2.3437898                      0.75549966
               2.3602953                      0.76029584
               2.3768009                      0.63743537
               2.3933065                      0.41495166
                2.409812                        0.135766
